Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,CUSIP,Exchange,Location,Currency,Market Currency
NWL,NETWEALTH GROUP LTD,Equity,0.06,11.67,"111,558.00","1,301,881.86","1,301,881.86",Financials,BF52PL1,AU000000NWL7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
PME,PRO MEDICUS LTD,Equity,0.06,24.77,"52,227.00","1,293,662.79","1,293,662.79",Health Care,6292782,AU000000PME8,S62927827,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ABP,ABACUS PROPERTY GROUP STAPLED UNIT,Equity,0.06,2.77,"465,815.00","1,290,307.55","1,290,307.55",Real Estate,6565707,AU000000ABP9,S65657074,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CKF,COLLINS FOODS LTD,Equity,0.06,9.45,"135,345.00","1,279,010.25","1,279,010.25",Consumer Discretionary,B6QCFP1,AU000000CKF7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WEB,WEBJET LTD,Equity,0.06,2.89,"433,242.00","1,252,069.38","1,252,069.38",Consumer Discretionary,6015815,AU000000WEB7,S60158151,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GUD,GUD HOLDINGS LTD,Equity,0.06,11.50,"108,135.00","1,243,552.50","1,243,552.50",Consumer Discretionary,6358004,AU000000GUD2,S63580047,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BGA,BEGA CHEESE LTD,Equity,0.06,4.58,"264,303.00","1,210,507.74","1,210,507.74",Consumer Staples,B56CQJ5,AU000000BGA8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SFR,SANDFIRE RESOURCES LTD,Equity,0.06,5.40,"222,394.00","1,200,927.60","1,200,927.60",Materials,6739739,AU000000SFR8,S67397398,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BKL,BLACKMORES LTD,Equity,0.06,73.68,"16,180.00","1,192,142.40","1,192,142.40",Consumer Staples,6102267,AU000000BKL7,S61022679,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA R,Equity,0.06,3.25,"365,905.00","1,189,191.25","1,189,191.25",Real Estate,B1Y9BC8,AU000000GOZ8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NEA,NEARMAP LTD,Equity,0.05,2.24,"505,633.00","1,132,617.92","1,132,617.92",Information Technology,B9B4FJ7,AU000000NEA8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MND,MONADELPHOUS GROUP LTD,Equity,0.05,9.55,"118,098.00","1,127,835.90","1,127,835.90",Industrials,6600471,AU000000MND5,S66004714,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GNC,GRAINCORP CLASS A LTD,Equity,0.05,3.86,"283,065.00","1,092,630.90","1,092,630.90",Consumer Staples,6102331,AU000000GNC9,S61023313,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ABC,ADELAIDE BRIGHTON LTD,Equity,0.05,2.29,"464,027.00","1,062,621.83","1,062,621.83",Materials,6006886,AU000000ABC7,S60068863,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BIN,BINGO INDUSTRIES LTD,Equity,0.05,1.97,"532,463.00","1,046,289.80","1,046,289.80",Industrials,BZ0VW78,AU000000BIN7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
PRN,AUSDRILL LTD,Equity,0.05,1.17,"888,808.00","1,039,905.36","1,039,905.36",Materials,BKRKNV4,AU0000061897,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SIQ,SMARTGROUP CORPORATION LTD,Equity,0.05,6.12,"166,483.00","1,018,875.96","1,018,875.96",Industrials,BNB5WS6,AU000000SIQ4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TGR,TASSAL GROUP LTD,Equity,0.05,3.69,"265,030.00","977,960.70","977,960.70",Consumer Staples,6710701,AU000000TGR4,S67107011,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NWH,NRW HOLDINGS LTD,Equity,0.04,1.69,"542,362.00","913,879.97","913,879.97",Industrials,B23XW70,AU000000NWH5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CTD,CORPORATE TRAVEL MANAGEMENT LTD,Equity,0.04,8.53,"103,664.00","884,253.92","884,253.92",Consumer Discretionary,B3R1D52,AU000000CTD3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
DHG,DOMAIN HOLDINGS AUSTRALIA LTD,Equity,0.04,3.13,"279,883.00","876,033.79","876,033.79",Communication,BF17Y13,AU000000DHG9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WSA,WESTERN AREAS LTD,Equity,0.04,2.70,"324,400.00","875,880.00","875,880.00",Materials,6261243,AU000000WSA9,S62612437,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
COE,COOPER ENERGY LTD,Equity,0.04,0.42,"2,065,179.00","867,375.18","867,375.18",Energy,6515616,AU000000COE2,S65156168,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ORE,OROCOBRE LTD,Equity,0.04,2.87,"299,594.00","859,834.78","859,834.78",Materials,B293GJ4,AU000000ORE0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MMS,MCMILLAN SHAKESPEARE LTD,Equity,0.04,9.34,"91,937.00","858,691.58","858,691.58",Industrials,B00G1Q0,AU000000MMS5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GEM,G8 EDUCATION LTD,Equity,0.04,0.80,"1,069,328.00","855,462.40","855,462.40",Consumer Discretionary,B296314,AU000000GEM7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SKC,SKY CITY ENTERTAINMENT GROUP LTD,Equity,0.04,2.29,"373,440.00","855,177.60","855,177.60",Consumer Discretionary,6151311,NZSKCE0001S2,S61513115,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
GWA,GWA GROUP LTD,Equity,0.04,2.54,"335,559.00","852,319.86","852,319.86",Industrials,6392949,AU000000GWA4,S63929491,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SSM,SERVICE STREAM LTD,Equity,0.04,1.80,"464,581.00","836,245.80","836,245.80",Industrials,B04KLG8,AU000000SSM2,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AVH,AVITA THERAPEUTICS CDI INC,Equity,0.04,6.30,"132,395.00","834,088.50","834,088.50",Health Care,6386113,AU000000AVH4,S63861132,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NHC,NEW HOPE CORPORATION LTD,Equity,0.04,1.39,"531,521.00","738,814.19","738,814.19",Energy,6681960,AU000000NHC7,S66819608,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
OML,OOH!MEDIA LTD,Equity,0.03,0.80,"756,206.00","604,964.80","604,964.80",Communication,BSXN8D0,AU000000OML6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SXL,SOUTHERN CROSS MEDIA GROUP LTD,Equity,0.03,0.17,"3,371,580.00","573,168.60","573,168.60",Communication,B5M7371,AU000000SXL4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
JPSFT,CASH COLLATERAL AUD JPSFT,Cash Collateral and Margins,0.03,100.00,"558,050.00","560,978.37","560,978.37",Cash and/or Derivatives,--,--,--,--,Australia,Australian Dollar,Australian Dollar
XPU0,SPI 200 SEP 20,Futures,0.00,"5,970.00",44.00,0.00,"6,567,000.00",Cash and/or Derivatives,--,--,--,Asx - Trade24,--,Australian Dollar,Australian Dollar
MARGIN_AUD,FUTURES AUD MARGIN BALANCE,Cash Collateral and Margins,0.00,0.00,0.00,0.00,0.00,Cash and/or Derivatives,--,--,--,--,Australia,Australian Dollar,Australian Dollar
,,,,,,,,,,,,,,,
Total allocation percentages may not equal 100% due to rounding or omissions of holdings of less than 1%. Information on certain fund holdings or less than 1% many not be widely available and may not be included in the table of holdings shown.All dollar amounts are in U.S. dollars.  All dates are in US Eastern Standard Time.,,,,,,,,,,,,,,,
