Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,CUSIP,Exchange,Location,Currency,Market Currency
CAR,CARSALES.COM LTD,Equity,0.27,18.24,"307,177.00","5,602,908.48","5,602,908.48",Communication,BW0BGZ3,AU000000CAR3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CCL,COCA-COLA AMATIL LTD,Equity,0.26,8.54,"643,626.00","5,496,566.04","5,496,566.04",Consumer Staples,6123451,AU000000CCL2,S61234514,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
FPH,FISHER AND PAYKEL HEALTHCARE CORPO,Equity,0.26,33.68,"160,269.00","5,397,859.92","5,397,859.92",Health Care,6423968,NZFAPE0001S2,S64239684,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
AWC,ALUMINA LTD,Equity,0.26,1.78,"3,008,154.00","5,369,554.89","5,369,554.89",Materials,6954985,AU000000AWC3,S69549855,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
OZL,OZ MINERALS LTD,Equity,0.25,12.68,"412,950.00","5,236,206.00","5,236,206.00",Materials,6397825,AU000000OZL8,S63978258,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALU,ALTIUM LTD,Equity,0.24,32.90,"155,178.00","5,105,356.20","5,105,356.20",Information Technology,6167697,AU000000ALU8,S61676979,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SKI,SPARK INFRASTRUCTURE,Equity,0.24,2.30,"2,196,875.00","5,052,812.50","5,052,812.50",Utilities,B0T9JZ5,AU000000SKI7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MIN,MINERAL RESOURCES LTD,Equity,0.23,23.75,"204,040.00","4,845,950.00","4,845,950.00",Materials,B17ZL56,AU000000MIN4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
APX,APPEN LTD,Equity,0.23,35.77,"134,944.00","4,826,946.88","4,826,946.88",Information Technology,BTPJH25,AU000000APX3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ILU,ILUKA RESOURCES LTD,Equity,0.23,8.98,"537,043.00","4,822,646.14","4,822,646.14",Materials,6957575,AU000000ILU1,S69575751,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALQ,ALS LTD,Equity,0.22,7.62,"613,967.00","4,678,428.54","4,678,428.54",Industrials,B86SZR5,AU000000ALQ6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BEN,BENDIGO AND ADELAIDE BANK LTD,Equity,0.22,6.78,"676,122.00","4,584,107.16","4,584,107.16",Financials,6091280,AU000000BEN6,S60912805,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IPL,INCITEC PIVOT LTD,Equity,0.22,1.88,"2,434,321.00","4,564,351.88","4,564,351.88",Materials,6673042,AU000000IPL1,S66730425,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CWN,CROWN RESORTS LTD,Equity,0.19,8.98,"448,559.00","4,028,059.82","4,028,059.82",Consumer Discretionary,B29LCJ0,AU000000CWN6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AST,AUSNET SERVICES,Equity,0.19,1.76,"2,280,374.00","4,024,860.11","4,024,860.11",Utilities,BPXR7J0,AU000000AST5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WTC,WISETECHGLOBAL PTY LTD,Equity,0.19,21.17,"187,337.00","3,965,924.29","3,965,924.29",Information Technology,BZ8GX83,AU000000WTC3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TPG,TPG TELECOM LTD,Equity,0.18,8.09,"470,940.00","3,809,904.60","3,809,904.60",Communication,BMB2257,AU0000090128,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SDF,STEADFAST GROUP LTD,Equity,0.17,3.35,"1,087,094.00","3,641,764.90","3,641,764.90",Financials,BCT5FD7,AU000000SDF8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
RRL,REGIS RESOURCES LTD,Equity,0.17,5.59,"647,499.00","3,619,519.41","3,619,519.41",Materials,6476542,AU000000RRL8,S64765423,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WOR,WORLEYPARSONS LTD,Equity,0.17,8.60,"410,655.00","3,531,633.00","3,531,633.00",Energy,6562474,AU000000WOR2,S65624744,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MTS,METCASH LTD,Equity,0.17,2.73,"1,289,529.00","3,520,414.17","3,520,414.17",Consumer Staples,B0744W4,AU000000MTS0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BOQ,BANK OF QUEENSLAND LTD,Equity,0.17,6.07,"578,839.00","3,513,552.73","3,513,552.73",Financials,6076243,AU000000BOQ8,S60762432,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SBM,ST BARBARA LTD,Equity,0.16,3.68,"886,548.00","3,262,496.64","3,262,496.64",Materials,6317072,AU000000SBM8,S63170724,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
DOW,DOWNER EDI LTD,Equity,0.15,4.26,"756,709.00","3,223,580.34","3,223,580.34",Industrials,6465573,AU000000DOW2,S64655731,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CGF,CHALLENGER LTD,Equity,0.15,4.44,"722,184.00","3,206,496.96","3,206,496.96",Financials,6726300,AU000000CGF5,S67263004,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IGO,INDEPENDENCE GROUP LTD,Equity,0.15,5.15,"603,757.00","3,109,348.55","3,109,348.55",Materials,6439567,AU000000IGO4,S64395676,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
HVN,HARVEY NORMAN HOLDINGS LTD,Equity,0.15,3.58,"856,604.00","3,066,642.32","3,066,642.32",Consumer Discretionary,6173508,AU000000HVN7,S61735080,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SOL,WASHINGTON H SOUL PATTINSON & COMP,Equity,0.15,20.43,"149,282.00","3,049,831.26","3,049,831.26",Energy,6821807,AU000000SOL3,S68218072,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BPT,BEACH ENERGY LTD,Equity,0.14,1.47,"2,061,432.00","3,019,997.88","3,019,997.88",Energy,6088204,AU000000BPT9,S60882040,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IEL,IDP EDUCATION PTY LTDINARY,Equity,0.14,14.03,"212,587.00","2,982,595.61","2,982,595.61",Consumer Discretionary,BDB6DD1,AU000000IEL5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SCP,SHOPPING CENTRES AUSTRALASIA PROPE,Equity,0.14,2.20,"1,352,156.00","2,974,743.20","2,974,743.20",Real Estate,B8K7J65,AU000000SCP9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ORA,ORORA LTD,Equity,0.14,2.42,"1,228,580.00","2,973,163.60","2,973,163.60",Materials,BH4TCW7,AU000000ORA8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BRG,BREVILLE GROUP LTD,Equity,0.14,24.44,"121,335.00","2,965,427.40","2,965,427.40",Consumer Discretionary,6158709,AU000000BRG2,S61587093,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SVW,SEVEN GROUP HOLDINGS LTD,Equity,0.14,17.21,"168,397.00","2,898,112.37","2,898,112.37",Industrials,B432QW4,AU000000SVW5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
RWC,RELIANCE WORLDWIDE CORPORATION LTD,Equity,0.14,2.84,"1,005,434.00","2,855,432.56","2,855,432.56",Industrials,BD1DM79,AU000000RWC7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TNE,TECHNOLOGY ONE LTD,Equity,0.14,8.50,"333,714.00","2,836,569.00","2,836,569.00",Information Technology,6302410,AU000000TNE8,S63024103,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
LNK,LINK ADMINISTRATION HLDG PTY LTD,Equity,0.13,4.13,"675,066.00","2,788,022.58","2,788,022.58",Information Technology,BYZBCY3,AU000000LNK2,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SGR,THE STAR ENTERTAINMENT GROUP LTD,Equity,0.13,2.64,"1,050,685.00","2,773,808.40","2,773,808.40",Consumer Discretionary,BD5ZR98,AU000000SGR6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CIM,CIMIC LTD,Equity,0.13,22.58,"121,722.00","2,748,482.76","2,748,482.76",Industrials,BX17Q13,AU000000CIM7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NHF,NIB HOLDINGS LTD,Equity,0.13,4.64,"581,570.00","2,698,484.80","2,698,484.80",Financials,B28ZM60,AU000000NHF0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NEC,NINE ENTERTAINMENT CO HOLDINGS LTD,Equity,0.13,1.42,"1,866,243.00","2,650,065.06","2,650,065.06",Communication,BGQV183,AU000000NEC4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SLR,SILVER LAKE RESOURCES LTD,Equity,0.12,2.33,"1,107,348.00","2,580,120.84","2,580,120.84",Materials,B28RMY4,AU000000SLR6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
